fio,admission_year,study_form,ct_score,certificate_score,total_score,specialty,address,phone
Щербаков Герман Зиновьевич,2023,Платная,64,7.0,134.0,Строительство,"ст. Сургут (Хант.), наб. Путевая, д. 2/1 к. 619, 530208",+7 186 825 56 09
Вишняков Олег Ильясович,2021,Целевая,63,6.9,132.0,Информатика и вычислительная техника,"клх Новый Оскол, бул. Севастопольский, д. 12 к. 176, 471265",8 014 022 13 57
Макаров Нестор Валерьевич,2025,Платная,78,6.6,144.0,Лингвистика,"с. Асино, бул. Щетинкина, д. 659 к. 2, 706828",+7 (919) 882-2053
Евгения Анатольевна Алексеева,2021,Платная,54,5.7,111.0,Менеджмент,"д. Змеиногорск, пр. Кубанский, д. 5, 596179",8 532 318 1148
Нинель Борисовна Горшкова,2023,Платная,64,7.8,142.0,Юриспруденция,"к. Новороссийск, бул. Дачный, д. 8/2, 449719",+79461563629
Авдеев Зиновий Богданович,2022,Целевая,34,7.5,109.0,Лингвистика,"г. Троицк (Челяб.), бул. Сибирский, д. 8/3 стр. 62, 029354",8 (657) 486-83-89
Рожкова Галина Геннадьевна,2025,Платная,82,8.7,169.0,Журналистика,"г. Улан-Удэ, ш. Речное, д. 947 стр. 52, 749210",+7 416 941 1004
Евфросиния Владимировна Крюкова,2021,Бюджет,55,6.3,118.0,Экономика,"к. Павловская, наб. Ростовская, д. 8 стр. 89, 504970",+70456218460
Ксения Евгеньевна Абрамова,2022,Целевая,67,7.9,146.0,Медицина,"д. Усть-Кут, алл. Мая 1, д. 251, 132725",+7 (267) 226-93-66
Алевтина Геннадьевна Большакова,2024,Платная,26,7.3,99.0,Психология,"г. Усть-Калманка, алл. Ермака, д. 5/7 стр. 2/8, 188911",+7 (972) 825-3318
Савельев Станислав Егорович,2024,Бюджет,57,6.3,120.0,Экономика,"ст. Горячинск, пер. Баумана, д. 485, 531474",+79146792134
Виктория Алексеевна Суворова,2021,Целевая,58,7.9,137.0,Медицина,"ст. Курчатов, ул. Промышленная, д. 1/8 к. 4/5, 501993",8 (885) 482-21-09
Галкин Иларион Герасимович,2023,Целевая,37,8.1,118.0,Строительство,"ст. Каменномостский, пр. Заводской, д. 70 к. 1, 024477",+7 (537) 913-8792
Суханова Наталья Валериевна,2025,Целевая,60,7.9,139.0,Дизайн,"к. Катав-Ивановск, бул. Элеваторный, д. 6/5 стр. 7, 966757",8 844 577 81 59
Мясникова Милица Ефимовна,2021,Целевая,58,8.6,144.0,Психология,"ст. Чебаркуль, бул. Марта 8, д. 7, 727369",8 975 375 43 08
Любосмысл Андреевич Владимиров,2021,Платная,36,8.0,116.0,Экономика,"п. Ульяновск, ш. Советское, д. 31 к. 8, 792770",+7 (187) 550-8006
Изяслав Устинович Власов,2024,Целевая,39,7.7,116.0,Менеджмент,"с. Бодайбо, ул. Черемушки, д. 6/2 к. 39, 566839",8 668 395 14 07
Беляева Марфа Романовна,2022,Платная,55,5.7,112.0,Журналистика,"п. Домодедово, алл. Проезжая, д. 264 к. 3/5, 502095",8 638 153 49 81
Валерия Рудольфовна Алексеева,2021,Бюджет,56,7.6,132.0,Информатика и вычислительная техника,"к. Бирск, пр. Макарова, д. 5/3, 200475",+7 371 592 17 44
Васильева Лариса Эльдаровна,2022,Целевая,61,6.9,130.0,Информатика и вычислительная техника,"к. Боровск, ул. Кошевого, д. 7 стр. 905, 195257",+7 544 930 0072
Кудрявцев Арефий Адрианович,2021,Платная,67,7.3,140.0,Экономика,"ст. Братск, бул. Солнечный, д. 642, 911714",8 502 759 7586
Лапина Евпраксия Захаровна,2025,Платная,64,6.7,131.0,Дизайн,"г. Тында, ш. Высокое, д. 57 стр. 6, 667689",+7 (535) 969-3129
Агата Олеговна Лукина,2025,Бюджет,83,8.0,163.0,Лингвистика,"ст. Армавир, алл. Абрикосовая, д. 273 стр. 8, 171193",8 041 679 1944
Абрамова Зинаида Григорьевна,2021,Бюджет,55,6.6,121.0,Менеджмент,"п. Сосногорск, пер. Громова, д. 999 стр. 674, 100012",+71361431611
Лидия Тарасовна Александрова,2024,Целевая,61,7.5,136.0,Экономика,"с. Армавир, пер. Шахтерский, д. 73 стр. 338, 159364",8 078 153 4321
Юлия Кирилловна Емельянова,2023,Платная,61,8.7,148.0,Дизайн,"к. Верещагино (Перм.), бул. Коммунальный, д. 11 стр. 121, 214884",86072950025
Платон Григорьевич Костин,2024,Платная,57,8.7,144.0,Лингвистика,"д. Карабулак, алл. Ветеранов, д. 2/4, 711167",+7 948 144 25 73
Шилова Нонна Святославовна,2023,Бюджет,25,7.3,98.0,Юриспруденция,"клх Кизилюрт, пер. Дарвина, д. 7, 984974",8 149 128 74 48
Ермолай Юльевич Щербаков,2025,Платная,63,6.3,126.0,Экономика,"ст. Томари, ш. Ленинское, д. 6, 535776",+75974856317
Виктор Артурович Шилов,2024,Целевая,28,7.9,107.0,Дизайн,"клх Завьялиха, пер. Березовый, д. 23, 396341",+73624229036
Борисов Артем Адрианович,2022,Целевая,58,8.0,138.0,Медицина,"к. Прохладный, ш. Нефтяников, д. 3 стр. 6, 723581",8 205 226 8549
Надежда Андреевна Симонова,2023,Целевая,52,6.3,115.0,Журналистика,"г. Быково (метеост.), бул. Ивановский, д. 30 к. 2/9, 875126",8 (850) 464-04-88
Никодим Денисович Евдокимов,2023,Бюджет,31,7.0,101.0,Лингвистика,"п. Белоярский, пер. Боровой, д. 1, 543034",8 (115) 173-17-43
Абрамова Регина Тимофеевна,2025,Целевая,79,6.6,145.0,Медицина,"п. Кизилюрт, пер. Ключевой, д. 5 стр. 65, 448949",8 779 641 3543
Колесникова Марина Ждановна,2024,Целевая,57,9.2,149.0,Медицина,"п. Неплюевка, ш. Запрудное, д. 4/8 к. 6/2, 420542",8 (385) 520-8269
Ширяев Никита Антонович,2025,Бюджет,40,9.5,135.0,Журналистика,"г. Бодайбо, алл. Полярная, д. 269 к. 478, 620632",8 (551) 898-76-22
Полина Андреевна Рогова,2024,Целевая,56,7.9,135.0,Юриспруденция,"д. Терскол, пер. Широкий, д. 994 стр. 339, 580594",8 991 412 91 18
Ефимов Юрий Глебович,2022,Целевая,53,7.1,124.0,Информатика и вычислительная техника,"д. Боровск, ул. Троицкая, д. 27 к. 2, 608457",8 (706) 939-39-14
Вишняков Пимен Фомич,2024,Платная,43,7.8,121.0,Лингвистика,"к. Краснотурьинск, пер. Механизаторов, д. 2 к. 4, 346206",+7 (926) 011-7594
Нестор Тихонович Семенов,2024,Целевая,54,5.7,111.0,Лингвистика,"ст. Новосибирск, бул. Добролюбова, д. 9/3 к. 7, 145919",83083131392
Тимофеев Глеб Зиновьевич,2022,Целевая,0,7.0,70.0,Информатика и вычислительная техника,"к. Тула, бул. Прудовой, д. 954, 480263",87675666896
Дьячков Сила Егорович,2021,Платная,23,7.1,94.0,Медицина,"с. Черняховск, пр. Мирный, д. 9, 124289",8 407 315 75 01
Горбунов Иннокентий Еремеевич,2021,Бюджет,83,7.8,161.0,Строительство,"клх Усть-Камчатск, пр. Калинина, д. 9 к. 7, 719097",+7 (072) 515-6497
Прохоров Исай Александрович,2024,Платная,29,8.2,111.0,Информатика и вычислительная техника,"п. Верхний Уфалей, пр. Рабочий, д. 6/8 стр. 567, 057047",+79523877569
Тамара Архиповна Григорьева,2022,Бюджет,71,8.7,158.0,Дизайн,"г. Тосно, пр. Смирнова, д. 2/2 стр. 93, 204419",87448533831
Стрелкова Акулина Святославовна,2023,Бюджет,63,7.5,138.0,Лингвистика,"ст. Теберда, бул. Заливный, д. 4/8 к. 215, 142713",8 867 165 3976
Орехов Ефим Ануфриевич,2025,Целевая,44,7.1,115.0,Лингвистика,"п. Армавир, наб. Ленина, д. 9/1 стр. 9, 034557",8 693 261 75 07
Василиса Кузьминична Игнатова,2023,Бюджет,65,7.4,139.0,Дизайн,"ст. Комсомольск-на-Амуре, ш. Верхнее, д. 8 стр. 1/2, 827851",8 141 617 52 69
Татьяна Федоровна Рябова,2024,Бюджет,41,7.4,115.0,Медицина,"г. Шатура, алл. Радужная, д. 47 стр. 5/1, 704489",+7 (703) 669-43-30
Морозова Агата Ивановна,2024,Платная,62,6.6,128.0,Экономика,"с. Нурлат, пр. Геологов, д. 47 к. 69, 602907",+7 531 021 9710
Иванова Лора Антоновна,2025,Платная,56,8.0,136.0,Медицина,"п. Одинцово, ш. Песчаное, д. 2/3 к. 2, 634144",8 326 177 2431
Мартьян Федосьевич Петухов,2021,Целевая,57,8.6,143.0,Журналистика,"с. Оса, алл. Поперечная, д. 2 к. 835, 776952",8 629 430 40 44
Шилова Евфросиния Леонидовна,2024,Платная,78,6.9,147.0,Дизайн,"клх Алагир, пер. Жданова, д. 4 к. 1/5, 824182",8 (323) 812-19-74
Горбачева Нонна Егоровна,2022,Платная,63,7.0,133.0,Лингвистика,"д. Калининград, наб. Металлистов, д. 496 стр. 688, 498550",+7 685 556 28 24
Дементий Аксёнович Гуляев,2021,Бюджет,49,8.2,131.0,Лингвистика,"клх Поярково, пр. Дружбы, д. 1/9, 982318",+7 (194) 062-87-03
Пономарева Дарья Дмитриевна,2023,Платная,49,6.8,117.0,Строительство,"с. Алексин, ул. Красина, д. 1/8 стр. 40, 554396",89867174948
Яковлева Пелагея Леонидовна,2024,Бюджет,29,9.0,119.0,Юриспруденция,"клх Бронницы, алл. Микрорайон, д. 4/4, 221805",88977089937
Фрол Фадеевич Тетерин,2023,Бюджет,55,6.9,124.0,Дизайн,"с. Морозовск, наб. Клары Цеткин, д. 116, 411307",89303119063
Волков Валерьян Федосеевич,2022,Целевая,48,8.2,130.0,Строительство,"п. Горячинск, бул. Хуторской, д. 7 стр. 162, 875157",89528810255
Мельников Остап Фокич,2023,Бюджет,31,7.7,108.0,Лингвистика,"с. Ханты-Мансийск, пер. Песчаный, д. 7, 376093",+7 (213) 265-70-63
Муравьева Оксана Анатольевна,2025,Платная,58,6.6,124.0,Журналистика,"клх Горячий Ключ, пр. Пожарского, д. 6/6, 740649",8 102 853 16 96
Волков Харлампий Васильевич,2021,Бюджет,61,8.0,141.0,Дизайн,"клх Лесной (Сверд.), наб. Чайковского, д. 3 стр. 330, 256593",+7 874 925 22 27
Антонов Филарет Феодосьевич,2021,Бюджет,47,9.1,138.0,Журналистика,"п. Арзамас, пер. Уральский, д. 994, 965960",+7 105 007 31 78
Трофимова Феврония Романовна,2025,Платная,53,7.6,129.0,Строительство,"с. Рославль, бул. Школьный, д. 18, 886152",+78657201581
Чернова Таисия Богдановна,2022,Бюджет,78,7.5,153.0,Лингвистика,"п. Цимлянск, пр. Мирный, д. 92 к. 1, 456922",+74341398251
Гусев Симон Фомич,2025,Целевая,54,6.7,121.0,Юриспруденция,"д. Каргополь, алл. Фрунзе, д. 362 к. 8/9, 818896",+7 (520) 905-4788
Зинаида Оскаровна Самойлова,2025,Целевая,54,5.8,112.0,Дизайн,"с. Каменск-Шахтинский, алл. Карла Маркса, д. 2 к. 7, 868753",8 (920) 198-03-95
Светлана Львовна Рыбакова,2022,Целевая,38,7.3,111.0,Экономика,"п. Усолье Сибирское, ш. Геологическое, д. 7/4 стр. 8, 636552",80551827208
Крюкова Варвара Романовна,2022,Бюджет,36,6.5,101.0,Психология,"г. Белогорск (Амур.), ул. Мельничная, д. 3/2 к. 2/7, 645445",84397234291
Бобров Владлен Эдуардович,2021,Бюджет,70,5.4,124.0,Психология,"д. Неплюевка, бул. Радищева, д. 91 стр. 9/4, 809562",8 (938) 628-4091
Эммануил Федосьевич Зимин,2023,Целевая,61,8.3,144.0,Психология,"к. Зеленоград, пр. Астраханский, д. 6 стр. 49, 382391",+7 362 379 1520
Самуил Антипович Пономарев,2021,Целевая,28,9.5,123.0,Медицина,"п. Славянск-на-Кубани, ул. Калинина, д. 59 стр. 27, 457128",8 527 550 3939
Милан Витальевич Матвеев,2023,Платная,65,6.9,134.0,Строительство,"клх Забайкальск, бул. Театральный, д. 9 стр. 852, 158059",+7 231 530 97 82
Воронова Кира Тимофеевна,2021,Целевая,37,7.8,115.0,Дизайн,"п. Нарткала, ул. Проезжая, д. 4/1, 230053",8 (466) 222-81-88
Юлия Львовна Калинина,2023,Бюджет,41,6.5,106.0,Менеджмент,"ст. Россошь, наб. Набережная, д. 73, 476214",8 (387) 996-4433
Синклитикия Владимировна Анисимова,2024,Платная,55,7.6,131.0,Информатика и вычислительная техника,"ст. Камышин, ш. Интернациональное, д. 7/6, 871675",8 491 541 01 93
Харлампий Исидорович Алексеев,2021,Платная,52,7.8,130.0,Юриспруденция,"г. Шумиха, пр. Шаумяна, д. 4/9 к. 90, 168236",+7 503 444 7500
Нифонт Афанасьевич Игнатов,2022,Целевая,58,8.4,142.0,Юриспруденция,"ст. Лазаревское, ул. Производственная, д. 146 стр. 307, 917214",8 280 788 7710
Максимова Иванна Эдуардовна,2021,Целевая,87,7.0,157.0,Лингвистика,"с. Черняховск, ул. Розы Люксембург, д. 59 стр. 381, 405959",8 172 302 8237
Потапов Лаврентий Германович,2021,Платная,42,7.1,113.0,Медицина,"с. Середниково, пр. Казанский, д. 8/1 стр. 422, 792139",8 (609) 065-0434
Гущина Галина Вячеславовна,2024,Платная,32,9.4,126.0,Лингвистика,"п. Гагарин, наб. Запорожская, д. 7 стр. 449, 736255",8 (653) 334-11-72
Зайцева Евдокия Георгиевна,2021,Целевая,39,8.7,126.0,Юриспруденция,"клх Алагир, ш. Горняцкое, д. 252 стр. 2, 941239",8 750 031 50 99
Творимир Викентьевич Захаров,2024,Бюджет,82,6.2,144.0,Менеджмент,"д. Кежма, ш. Красноармейское, д. 42 к. 2, 492759",+7 316 347 90 91
Лукия Юльевна Цветкова,2021,Бюджет,30,7.5,105.0,Информатика и вычислительная техника,"ст. Екатеринбург, бул. Максима Горького, д. 4, 764222",8 (585) 128-48-45
Коновалова Евгения Болеславовна,2022,Бюджет,43,6.2,105.0,Экономика,"с. Тюмень, бул. Нижний, д. 5/2 стр. 6/1, 296467",8 368 085 7690
Всеслав Адрианович Марков,2024,Бюджет,26,8.4,110.0,Юриспруденция,"ст. Анапа, бул. Станиславского, д. 1/9 стр. 5, 336957",+7 709 554 5299
Дарья Александровна Тетерина,2022,Целевая,35,6.4,99.0,Психология,"п. Томск, пер. Крупской, д. 896, 292528",+7 (416) 680-5626
Назаров Карп Ильясович,2025,Бюджет,55,9.9,154.0,Экономика,"г. Тотьма, пер. Дзержинского, д. 8/2 стр. 191, 451676",8 (531) 173-81-44
Демид Валентинович Кулагин,2024,Целевая,53,7.7,130.0,Психология,"клх Малгобек, наб. Просвещения, д. 2/5 стр. 333, 262984",8 671 810 43 95
Мария Михайловна Котова,2024,Целевая,67,8.4,151.0,Медицина,"клх Кабанск, ш. Мелиораторов, д. 56 к. 73, 465256",+7 734 137 1039
Раиса Ивановна Дементьева,2025,Целевая,49,6.9,118.0,Строительство,"клх Жиганск, пер. Стадионный, д. 25 стр. 414, 644164",+7 071 487 8359
Андроник Германович Кузнецов,2023,Платная,59,7.6,135.0,Менеджмент,"ст. Игнашино, пер. Бажова, д. 79 стр. 4/3, 517098",+7 (270) 071-2418
Синклитикия Аскольдовна Белоусова,2025,Целевая,35,6.9,104.0,Журналистика,"д. Нарткала, бул. Ставропольский, д. 535, 966129",+7 874 292 48 92
Лонгин Иларионович Яковлев,2024,Бюджет,57,6.5,122.0,Менеджмент,"ст. Курильск, алл. Специалистов, д. 5, 763315",+7 (330) 861-3327
Воронцов Иннокентий Анатольевич,2023,Целевая,76,7.2,148.0,Информатика и вычислительная техника,"д. Верхотурье, алл. Кирпичная, д. 3, 172178",+72636934225
Лариса Павловна Ермакова,2024,Платная,58,7.1,129.0,Журналистика,"к. Новгород Великий, пер. Брянский, д. 315 стр. 91, 145941",8 582 115 4937
Ульяна Афанасьевна Новикова,2024,Платная,42,8.9,131.0,Журналистика,"ст. Октябрьский (Башк.), наб. Заводская, д. 4 к. 440, 499678",+7 747 042 75 81
Ферапонт Виленович Макаров,2023,Целевая,72,7.4,146.0,Информатика и вычислительная техника,"г. Чита, ул. Таежная, д. 2 стр. 7/1, 950491",+7 424 027 0665
Бажен Артемьевич Быков,2021,Платная,43,6.8,111.0,Экономика,"ст. Тихвин, пер. Правды, д. 2/3 к. 128, 739481",+7 747 106 0230
Фролова Анжела Робертовна,2024,Целевая,64,8.0,144.0,Журналистика,"клх Лотошино, ул. Надежды, д. 24 стр. 960, 179030",+7 (975) 320-2168
Ананий Харлампьевич Николаев,2025,Целевая,64,7.3,137.0,Юриспруденция,"с. Тутончаны, наб. Элеваторная, д. 2/7, 411691",+7 (521) 862-71-34
Бурова Алла Аскольдовна,2021,Целевая,49,7.7,126.0,Медицина,"к. Энгельс, пр. Суворова, д. 684 стр. 6/8, 733356",+72528663347
Октябрина Михайловна Андреева,2023,Целевая,29,5.8,87.0,Юриспруденция,"клх Армавир, ул. Коллективная, д. 72 стр. 763, 480049",8 030 486 7114
Сидорова Алина Оскаровна,2023,Платная,51,7.3,124.0,Дизайн,"г. Палана, бул. Калужский, д. 871, 179256",8 (914) 223-99-58
Панов Никанор Эдгарович,2021,Целевая,24,9.5,119.0,Медицина,"ст. Иркутск, пер. Зеленый, д. 8, 236161",+7 154 122 3601
Онуфрий Тарасович Волков,2021,Целевая,66,7.0,136.0,Журналистика,"к. Старый Оскол, пер. Азина, д. 602 стр. 3/1, 361497",8 466 968 23 60
Авдей Бенедиктович Владимиров,2022,Платная,28,7.6,104.0,Экономика,"клх Мурманск, наб. Войкова, д. 1 к. 7/2, 710500",8 (985) 251-17-69
Кабанова Ксения Артемовна,2022,Платная,63,7.5,138.0,Менеджмент,"д. Гусь-Хрустальный, бул. Хвойный, д. 97 к. 41, 695017",+7 444 029 9678
Горшков Павел Гурьевич,2025,Платная,33,8.5,118.0,Лингвистика,"к. Ревда (Сверд.), алл. Флотская, д. 5, 545154",+70171237867
Егоров Фадей Матвеевич,2024,Целевая,49,6.6,115.0,Медицина,"к. Дагомыс, ул. Ивановская, д. 5/8 к. 1, 571105",8 403 682 19 97
Суханова Ксения Натановна,2024,Платная,65,7.3,138.0,Журналистика,"к. Верхний Уфалей, бул. Ленинградский, д. 36 стр. 25, 721987",+7 134 661 4081
Дементий Адамович Власов,2023,Платная,49,7.8,127.0,Психология,"с. Улан-Удэ, ул. Юности, д. 7/6 стр. 9/9, 953924",84269733479
Лидия Григорьевна Афанасьева,2023,Целевая,17,8.9,106.0,Журналистика,"д. Казань, пер. Больничный, д. 4/8, 961364",8 521 180 19 25
Никон Владиленович Ситников,2024,Платная,61,6.7,128.0,Лингвистика,"п. Солнечногорск, ш. Рязанское, д. 569 стр. 806, 227816",8 (372) 382-9223
Пестов Самуил Артёмович,2025,Платная,43,8.4,127.0,Психология,"к. Агата, пр. 70 лет Октября, д. 95, 838278",+7 (997) 788-58-42
Глеб Эдуардович Некрасов,2022,Платная,55,6.7,122.0,Информатика и вычислительная техника,"ст. Калуга, пер. Коммунистический, д. 4/9 стр. 39, 235055",8 (408) 279-99-55
Вероника Рудольфовна Носова,2025,Бюджет,62,7.9,141.0,Информатика и вычислительная техника,"г. Шелагонцы, пер. 60 лет Октября, д. 573, 528898",8 (917) 685-4550
Антонина Ниловна Игнатова,2021,Бюджет,57,5.1,108.0,Дизайн,"к. Артем, ш. Чкалова, д. 5 к. 144, 847541",8 086 055 58 45
Эмилия Эльдаровна Попова,2024,Платная,66,9.6,162.0,Медицина,"ст. Аршан (Бурят.), бул. 30 лет Победы, д. 711, 951860",80903438545
Яковлева Регина Олеговна,2025,Бюджет,32,7.0,102.0,Медицина,"с. Петрозаводск, пр. Проточный, д. 1/5, 652861",+7 283 365 3249
Майя Викторовна Агафонова,2025,Целевая,75,7.7,152.0,Менеджмент,"с. Вязьма, пр. Тукая, д. 70 к. 41, 097220",+7 470 817 56 56
Виталий Фролович Агафонов,2024,Платная,41,7.0,111.0,Дизайн,"клх Бузулук, пер. Байкальский, д. 718, 506168",8 380 979 4205
Евдокимова Регина Афанасьевна,2023,Целевая,63,8.2,145.0,Медицина,"п. Яшкуль, наб. Больничная, д. 88 стр. 7/3, 287284",+7 217 839 5311
Ратибор Феликсович Брагин,2023,Бюджет,62,9.2,154.0,Журналистика,"к. Черусти, ш. Тепличное, д. 174 к. 168, 270663",87366294999
Святослав Архипович Князев,2025,Целевая,35,8.1,116.0,Журналистика,"к. Данков, пр. Широкий, д. 203 стр. 298, 632093",+7 406 409 69 51
Тамара Павловна Селиверстова,2023,Бюджет,54,7.1,125.0,Информатика и вычислительная техника,"п. Нижний Тагил, ул. Карла Либкнехта, д. 42, 308749",8 096 972 8760
Ангелина Даниловна Щербакова,2021,Платная,51,6.7,118.0,Юриспруденция,"г. Тверь, пр. З.Космодемьянской, д. 349 стр. 884, 376638",8 287 638 9901
Князев Александр Тихонович,2021,Целевая,60,7.6,136.0,Информатика и вычислительная техника,"п. Североморск, бул. Пирогова, д. 174 к. 978, 362571",8 764 300 38 83
Фортунат Владленович Михеев,2025,Бюджет,66,7.1,137.0,Строительство,"с. Чусовой, алл. Пролетарская, д. 177, 888837",8 (396) 585-5495
Феоктист Ерофеевич Романов,2025,Целевая,48,7.3,121.0,Экономика,"д. Казань, алл. Чкалова, д. 42, 840266",+7 267 648 1226
Богданова Елена Михайловна,2023,Целевая,56,7.1,127.0,Строительство,"д. Объячево, наб. Труда, д. 99 стр. 998, 057998",8 (927) 501-34-61
Фокина Раиса Ильинична,2022,Платная,65,5.7,122.0,Строительство,"г. Луховицы, пр. Николаева, д. 6/9 к. 40, 282734",8 (544) 726-3803
Муравьева Нонна Аскольдовна,2021,Бюджет,47,7.9,126.0,Психология,"ст. Лянтор, бул. Мирный, д. 9/3 стр. 6, 431453",86989588818
Милен Эдгарович Борисов,2025,Платная,50,6.4,114.0,Медицина,"д. Шадринск, бул. Щетинкина, д. 1/9 к. 1/3, 050173",8 750 675 43 72
Игнатьев Георгий Теймуразович,2024,Платная,69,8.6,155.0,Строительство,"клх Гремячинск (Бурят.), ул. Краснодарская, д. 4 к. 221, 004485",86958964029
г-жа Зиновьева Эмилия Васильевна,2022,Бюджет,62,9.1,153.0,Менеджмент,"клх Бугуруслан, пр. Толстого, д. 179 стр. 1/4, 476080",8 801 137 66 27
Осип Валерьянович Зуев,2021,Целевая,79,7.0,149.0,Строительство,"ст. Троицко-Печорск, наб. Садовая, д. 6/3, 425049",+7 (836) 873-95-88
Мирон Богданович Бобылев,2021,Платная,77,9.1,168.0,Психология,"к. Кош-Агач, ул. Целинная, д. 37 к. 197, 472653",8 675 085 5482
Милен Владиленович Шубин,2021,Бюджет,68,5.6,124.0,Экономика,"с. Макушино, ш. Приморское, д. 9, 559887",+7 244 995 93 90
Ширяева Анна Даниловна,2024,Целевая,54,7.7,131.0,Экономика,"к. Рыбинск, наб. Васильковая, д. 54, 775973",+75523554069
Котова Глафира Ильинична,2023,Платная,52,6.6,118.0,Информатика и вычислительная техника,"к. Черняховск, наб. Маркса, д. 2, 672882",89549464395
Никифор Тимурович Поляков,2024,Целевая,33,6.6,99.0,Экономика,"ст. Верхний Уфалей, пер. Лесный, д. 82, 576348",+7 508 486 59 97
Шарапов Силантий Эдгардович,2024,Платная,31,7.8,109.0,Медицина,"д. Новокузнецк, бул. Запрудный, д. 156, 890094",+7 (931) 652-8191
Силин Гремислав Валерианович,2024,Целевая,89,7.5,164.0,Информатика и вычислительная техника,"д. Тавда, пер. Хуторской, д. 9/4 стр. 8, 191978",8 166 018 06 75
Мир Богданович Кузьмин,2024,Платная,83,6.1,144.0,Медицина,"клх Салехард, наб. Красноярская, д. 4 к. 254, 218237",+7 (971) 579-3210
Василиса Юльевна Зуева,2025,Платная,36,7.4,110.0,Медицина,"ст. Темрюк, пр. Главный, д. 9/6, 118702",+7 443 940 85 80
Антип Егорович Аксенов,2024,Целевая,46,7.6,122.0,Экономика,"п. Ханты-Мансийск, ш. Щорса, д. 6 к. 5/7, 952966",+77363832700
Большакова Милица Егоровна,2024,Целевая,64,7.9,143.0,Лингвистика,"с. Соловки, пер. Красногвардейский, д. 61 к. 247, 881589",8 (650) 475-6832
Виссарион Филатович Котов,2024,Платная,58,6.6,124.0,Информатика и вычислительная техника,"п. Дербент, алл. Союзная, д. 8, 425145",8 (960) 547-8502
Шубин Тарас Ефимьевич,2025,Целевая,27,6.3,90.0,Лингвистика,"к. Двинской, алл. Станционная, д. 2 к. 900, 125143",8 863 973 8453
Фома Филимонович Ситников,2025,Целевая,59,8.9,148.0,Дизайн,"клх Дагомыс, наб. Братская, д. 68, 256760",8 (022) 357-8765
Устинов Терентий Даниилович,2022,Целевая,60,6.8,128.0,Медицина,"к. Вытегра, наб. Павлова, д. 435 к. 3, 144210",8 (248) 841-5937
Алевтина Антоновна Филиппова,2022,Бюджет,46,8.4,130.0,Лингвистика,"с. Челюскин, алл. Баумана, д. 241 к. 7, 353421",+7 (609) 945-4424
Колесников Гедеон Всеволодович,2024,Платная,71,8.3,154.0,Информатика и вычислительная техника,"д. Суздаль, пер. Иркутский, д. 26 к. 9/6, 553323",+72788264070
Марфа Тарасовна Турова,2024,Бюджет,68,5.7,125.0,Дизайн,"к. Игарка, бул. Сенной, д. 4 стр. 6/6, 792432",89959295597
Фёкла Богдановна Горшкова,2021,Бюджет,61,5.9,120.0,Информатика и вычислительная техника,"клх Мирный, алл. Л.Толстого, д. 5, 549276",8 428 863 65 09
Ефрем Аксёнович Ефимов,2025,Целевая,48,7.4,122.0,Журналистика,"клх Верхотурье, пр. Вокзальный, д. 2/5 стр. 835, 498952",82163819784
Любовь Руслановна Гущина,2023,Бюджет,50,7.4,124.0,Журналистика,"клх Тольятти, пер. Железнодорожный, д. 9/3 к. 402, 112819",8 (472) 173-8613
